task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
7593,covertype,9,LightGBM_DSTL_BASE,0.8852515447238429,0.8795411089866156,2.2278249263763428,0.24248075485229492,240.51498126983643,2.2278249263763428,0.24248075485229492,240.51498126983643,1,True,7,2021-03-25 00:03:02.370357
7593,covertype,9,WeightedEnsemble_L2_DSTL_BASE,0.8852515447238429,0.8795411089866156,2.2321250438690186,0.24492859840393066,240.5212664604187,0.004300117492675781,0.002447843551635742,0.006285190582275391,2,True,8,2021-03-25 00:03:02.370357
7593,covertype,9,LightGBM_DSTL_KNOW,0.8739436498511213,0.8690248565965584,2.1957340240478516,0.22896194458007812,240.55008220672607,2.1957340240478516,0.22896194458007812,240.55008220672607,1,True,5,2021-03-25 00:03:02.370357
7593,covertype,9,WeightedEnsemble_L2_DSTL_KNOW,0.8739436498511213,0.8690248565965584,2.200101852416992,0.23157000541687012,240.5567021369934,0.004367828369140625,0.002608060836791992,0.006619930267333984,2,True,6,2021-03-25 00:03:02.370357
7593,covertype,9,LightGBM_BAG_L1,0.833376361852636,0.8310113958207037,4.417216062545776,4.000251531600952,106.08687806129456,4.417216062545776,4.000251531600952,106.08687806129456,1,True,3,2021-03-25 00:03:02.370357
168329,helena,0,NeuralNetMXNet_BAG_L1,0.3884969325153374,0.38448428659076966,2.2221059799194336,1.872499704360962,573.646066904068,2.2221059799194336,1.872499704360962,573.646066904068,1,True,1,2021-03-25 01:14:34.002416
168329,helena,0,WeightedEnsemble_L2,0.3884969325153374,0.38448428659076966,2.2261388301849365,1.8986146450042725,573.7536809444427,0.00403285026550293,0.026114940643310547,0.10761404037475586,2,True,2,2021-03-25 01:14:34.002416
168329,helena,0,NeuralNetMXNet_BAG_L2,0.3875766871165644,0.3766275819755948,6.648791074752808,6.015259742736816,1140.3808207511902,4.426685094833374,4.1427600383758545,566.7347538471222,2,True,3,2021-03-25 01:14:34.002416
168329,helena,0,WeightedEnsemble_L3,0.3875766871165644,0.3766275819755948,6.654091119766235,6.041289806365967,1140.4910278320312,0.005300045013427734,0.02603006362915039,0.11020708084106445,3,True,4,2021-03-25 01:14:34.002416
168329,helena,0,LightGBM_DSTL_KNOW,0.37392638036809817,0.3864,5.860611915588379,2.0485923290252686,242.553790807724,5.860611915588379,2.0485923290252686,242.553790807724,1,True,5,2021-03-25 01:14:34.002416
168329,helena,0,WeightedEnsemble_L2_DSTL_KNOW,0.37392638036809817,0.3864,5.865598201751709,2.0563220977783203,242.58139991760254,0.004986286163330078,0.007729768753051758,0.02760910987854004,2,True,6,2021-03-25 01:14:34.002416
168329,helena,0,LightGBM_DSTL_BASE,0.3697852760736196,0.3684,2.0924911499023438,0.946260929107666,137.4179859161377,2.0924911499023438,0.946260929107666,137.4179859161377,1,True,7,2021-03-25 01:14:34.002416
168329,helena,0,WeightedEnsemble_L2_DSTL_BASE,0.3696319018404908,0.3684,2.243068218231201,1.0074360370635986,2790.500200510025,0.009322166442871094,0.007905006408691406,2.817326784133911,2,True,9,2021-03-25 01:14:34.002416
168329,helena,0,CatBoost_DSTL_BASE,0.23819018404907977,0.2384,0.14125490188598633,0.05327010154724121,2650.2648878097534,0.14125490188598633,0.05327010154724121,2650.2648878097534,1,True,8,2021-03-25 01:14:34.002416
168329,helena,1,NeuralNetMXNet_BAG_L2,0.3995398773006135,0.37582657304519734,6.655948877334595,5.8245580196380615,1138.0598740577698,4.51119589805603,4.011177062988281,564.8456900119781,2,True,3,2021-03-25 02:26:24.268056
168329,helena,1,WeightedEnsemble_L3,0.3995398773006135,0.37582657304519734,6.6612708568573,5.850478887557983,1138.1701419353485,0.005321979522705078,0.025920867919921875,0.11026787757873535,3,True,4,2021-03-25 02:26:24.268056
168329,helena,1,NeuralNetMXNet_BAG_L1,0.399079754601227,0.38346172199877293,2.1447529792785645,1.8133809566497803,573.2141840457916,2.1447529792785645,1.8133809566497803,573.2141840457916,1,True,1,2021-03-25 02:26:24.268056
168329,helena,1,WeightedEnsemble_L2,0.399079754601227,0.38346172199877293,2.1484179496765137,1.8416619300842285,573.3265442848206,0.0036649703979492188,0.028280973434448242,0.11236023902893066,2,True,2,2021-03-25 02:26:24.268056
168329,helena,1,LightGBM_DSTL_KNOW,0.37852760736196317,0.3896,6.112908124923706,2.134860038757324,242.93052005767822,6.112908124923706,2.134860038757324,242.93052005767822,1,True,5,2021-03-25 02:26:24.268056
168329,helena,1,WeightedEnsemble_L2_DSTL_KNOW,0.37852760736196317,0.3896,6.1177380084991455,2.1428229808807373,242.95648097991943,0.004829883575439453,0.007962942123413086,0.025960922241210938,2,True,6,2021-03-25 02:26:24.268056
168329,helena,1,WeightedEnsemble_L2_DSTL_BASE,0.36855828220858894,0.3604,2.706099510192871,0.9482898712158203,2795.6013872623444,0.008285284042358398,0.007250785827636719,2.52559494972229,2,True,9,2021-03-25 02:26:24.268056
168329,helena,1,LightGBM_DSTL_BASE,0.3684049079754601,0.36,2.5587291717529297,0.893369197845459,143.41483306884766,2.5587291717529297,0.893369197845459,143.41483306884766,1,True,7,2021-03-25 02:26:24.268056
168329,helena,1,CatBoost_DSTL_BASE,0.23634969325153374,0.2424,0.139085054397583,0.04766988754272461,2649.6609592437744,0.139085054397583,0.04766988754272461,2649.6609592437744,1,True,8,2021-03-25 02:26:24.268056
168329,helena,2,NeuralNetMXNet_BAG_L1,0.39631901840490796,0.3843138591587702,2.2357101440429688,1.8111462593078613,574.0434920787811,2.2357101440429688,1.8111462593078613,574.0434920787811,1,True,1,2021-03-25 03:38:05.276480
168329,helena,2,WeightedEnsemble_L2,0.39631901840490796,0.3843138591587702,2.2401092052459717,1.8368372917175293,574.1503510475159,0.00439906120300293,0.02569103240966797,0.10685896873474121,2,True,2,2021-03-25 03:38:05.276480
168329,helena,2,NeuralNetMXNet_BAG_L2,0.3950920245398773,0.37674688117799443,6.789124965667725,6.02578067779541,1137.9684927463531,4.553414821624756,4.214634418487549,563.925000667572,2,True,3,2021-03-25 03:38:05.276480
168329,helena,2,WeightedEnsemble_L3,0.3950920245398773,0.37674688117799443,6.794770002365112,6.051616668701172,1138.0776658058167,0.005645036697387695,0.02583599090576172,0.10917305946350098,3,True,4,2021-03-25 03:38:05.276480
168329,helena,2,LightGBM_DSTL_KNOW,0.36855828220858894,0.3936,6.102031230926514,1.6033391952514648,242.32355093955994,6.102031230926514,1.6033391952514648,242.32355093955994,1,True,5,2021-03-25 03:38:05.276480
168329,helena,2,WeightedEnsemble_L2_DSTL_KNOW,0.36855828220858894,0.3936,6.107105016708374,1.610187292098999,242.35086178779602,0.0050737857818603516,0.00684809684753418,0.027310848236083984,2,True,6,2021-03-25 03:38:05.276480
168329,helena,2,LightGBM_DSTL_BASE,0.3670245398773006,0.3716,2.5019850730895996,0.7796969413757324,146.95245122909546,2.5019850730895996,0.7796969413757324,146.95245122909546,1,True,7,2021-03-25 03:38:05.276480
168329,helena,2,WeightedEnsemble_L2_DSTL_BASE,0.36671779141104294,0.3716,2.6545250415802,0.8381450176239014,2788.5640394687653,0.010704994201660156,0.007789134979248047,2.8139071464538574,2,True,9,2021-03-25 03:38:05.276480
168329,helena,2,CatBoost_DSTL_BASE,0.24432515337423313,0.256,0.14183497428894043,0.0506589412689209,2638.797681093216,0.14183497428894043,0.0506589412689209,2638.797681093216,1,True,8,2021-03-25 03:38:05.276480
168329,helena,3,NeuralNetMXNet_BAG_L1,0.3920245398773006,0.3848592269411685,2.2310099601745605,1.8156540393829346,574.475448846817,2.2310099601745605,1.8156540393829346,574.475448846817,1,True,1,2021-03-25 04:49:40.218279
168329,helena,3,WeightedEnsemble_L2,0.3920245398773006,0.3848592269411685,2.234907865524292,1.8420021533966064,574.5849859714508,0.0038979053497314453,0.026348114013671875,0.10953712463378906,2,True,2,2021-03-25 04:49:40.218279
168329,helena,3,NeuralNetMXNet_BAG_L2,0.39125766871165646,0.3762185561387961,6.866974115371704,5.97130560874939,1138.406340122223,4.6359641551971436,4.155651569366455,563.9308912754059,2,True,3,2021-03-25 04:49:40.218279
168329,helena,3,WeightedEnsemble_L3,0.39125766871165646,0.3762185561387961,6.872426986694336,5.999279499053955,1138.5340731143951,0.005452871322631836,0.02797389030456543,0.1277329921722412,3,True,4,2021-03-25 04:49:40.218279
168329,helena,3,LightGBM_DSTL_KNOW,0.36993865030674844,0.3856,5.698210954666138,2.1205270290374756,243.162339925766,5.698210954666138,2.1205270290374756,243.162339925766,1,True,5,2021-03-25 04:49:40.218279
168329,helena,3,WeightedEnsemble_L2_DSTL_KNOW,0.36993865030674844,0.3856,5.703219890594482,2.126493215560913,243.18795108795166,0.0050089359283447266,0.0059661865234375,0.025611162185668945,2,True,6,2021-03-25 04:49:40.218279
168329,helena,3,WeightedEnsemble_L2_DSTL_BASE,0.36395705521472393,0.3732,2.5168309211730957,0.8699047565460205,2780.826016187668,0.00942230224609375,0.0072939395904541016,2.6052160263061523,2,True,9,2021-03-25 04:49:40.218279
168329,helena,3,LightGBM_DSTL_BASE,0.3628834355828221,0.374,2.3638923168182373,0.8105919361114502,132.67904496192932,2.3638923168182373,0.8105919361114502,132.67904496192932,1,True,7,2021-03-25 04:49:40.218279
168329,helena,3,CatBoost_DSTL_BASE,0.24662576687116564,0.2396,0.14351630210876465,0.05201888084411621,2645.5417551994324,0.14351630210876465,0.05201888084411621,2645.5417551994324,1,True,8,2021-03-25 04:49:40.218279
168329,helena,4,NeuralNetMXNet_BAG_L1,0.3995398773006135,0.3839218760651715,2.166192054748535,1.8271734714508057,574.3113799095154,2.166192054748535,1.8271734714508057,574.3113799095154,1,True,1,2021-03-25 06:01:24.950896
168329,helena,4,WeightedEnsemble_L2,0.3995398773006135,0.3839218760651715,2.170097827911377,1.853717565536499,574.4204649925232,0.003905773162841797,0.02654409408569336,0.1090850830078125,2,True,2,2021-03-25 06:01:24.950896
